sensor,value,datetime
TC,18.707051999999997,2019-01-04 14:30:00+00:00
HUM,44.0,2019-01-04 14:30:00+00:00
PRES,1019.46,2019-01-04 14:30:00+00:00
TC,17.27916,2019-01-04 15:30:00+00:00
HUM,49.0,2019-01-04 15:30:00+00:00
PRES,1019.79,2019-01-04 15:30:00+00:00
TC,16.229076,2019-01-04 16:30:00+00:00
HUM,54.0,2019-01-04 16:30:00+00:00
PRES,1019.69,2019-01-04 16:30:00+00:00
TC,15.440124,2019-01-04 17:30:00+00:00
HUM,57.99999999999999,2019-01-04 17:30:00+00:00
PRES,1019.41,2019-01-04 17:30:00+00:00
TC,14.667839999999998,2019-01-04 18:30:00+00:00
HUM,57.99999999999999,2019-01-04 18:30:00+00:00
PRES,1019.09,2019-01-04 18:30:00+00:00
TC,13.91778,2019-01-04 19:30:00+00:00
HUM,61.0,2019-01-04 19:30:00+00:00
PRES,1018.8,2019-01-04 19:30:00+00:00
TC,13.234392000000001,2019-01-04 20:30:00+00:00
HUM,63.0,2019-01-04 20:30:00+00:00
PRES,1018.43,2019-01-04 20:30:00+00:00
TC,12.478776,2019-01-04 21:30:00+00:00
HUM,64.0,2019-01-04 21:30:00+00:00
PRES,1018.14,2019-01-04 21:30:00+00:00
TC,11.495364,2019-01-04 22:30:00+00:00
HUM,67.0,2019-01-04 22:30:00+00:00
PRES,1018.21,2019-01-04 22:30:00+00:00
TC,11.778720000000002,2019-01-04 23:30:00+00:00
HUM,65.0,2019-01-04 23:30:00+00:00
PRES,1018.43,2019-01-04 23:30:00+00:00
TC,12.945479999999998,2019-01-05 00:30:00+00:00
HUM,64.0,2019-01-05 00:30:00+00:00
PRES,1018.7,2019-01-05 00:30:00+00:00
TC,13.778879999999996,2019-01-05 01:30:00+00:00
HUM,65.0,2019-01-05 01:30:00+00:00
PRES,1019.09,2019-01-05 01:30:00+00:00
TC,14.923416,2019-01-05 02:30:00+00:00
HUM,63.0,2019-01-05 02:30:00+00:00
PRES,1019.47,2019-01-05 02:30:00+00:00
TC,16.934687999999998,2019-01-05 03:30:00+00:00
HUM,57.99999999999999,2019-01-05 03:30:00+00:00
PRES,1019.53,2019-01-05 03:30:00+00:00
TC,19.784916,2019-01-05 04:30:00+00:00
HUM,51.0,2019-01-05 04:30:00+00:00
PRES,1019.28,2019-01-05 04:30:00+00:00
TC,22.240668,2019-01-05 05:30:00+00:00
HUM,45.0,2019-01-05 05:30:00+00:00
PRES,1018.97,2019-01-05 05:30:00+00:00
TC,24.035256,2019-01-05 06:30:00+00:00
HUM,40.0,2019-01-05 06:30:00+00:00
PRES,1018.41,2019-01-05 06:30:00+00:00
TC,25.618716,2019-01-05 07:30:00+00:00
HUM,35.0,2019-01-05 07:30:00+00:00
PRES,1017.36,2019-01-05 07:30:00+00:00
TC,26.068752,2019-01-05 08:30:00+00:00
HUM,33.0,2019-01-05 08:30:00+00:00
PRES,1016.35,2019-01-05 08:30:00+00:00
TC,25.5576,2019-01-05 09:30:00+00:00
HUM,34.0,2019-01-05 09:30:00+00:00
PRES,1015.74,2019-01-05 09:30:00+00:00
TC,24.668640000000003,2019-01-05 10:30:00+00:00
HUM,36.0,2019-01-05 10:30:00+00:00
PRES,1015.54,2019-01-05 10:30:00+00:00
TC,23.451875999999995,2019-01-05 11:30:00+00:00
HUM,39.0,2019-01-05 11:30:00+00:00
PRES,1015.62,2019-01-05 11:30:00+00:00
TC,21.912864000000003,2019-01-05 12:30:00+00:00
HUM,43.0,2019-01-05 12:30:00+00:00
PRES,1015.96,2019-01-05 12:30:00+00:00
TC,20.096052,2019-01-05 13:30:00+00:00
HUM,47.0,2019-01-05 13:30:00+00:00
PRES,1016.55,2019-01-05 13:30:00+00:00
TC,18.41814,2019-01-05 14:30:00+00:00
HUM,51.0,2019-01-05 14:30:00+00:00
PRES,1017.13,2019-01-05 14:30:00+00:00
TC,17.073587999999994,2019-01-05 15:30:00+00:00
HUM,55.00000000000001,2019-01-05 15:30:00+00:00
PRES,1017.4,2019-01-05 15:30:00+00:00
TC,16.062395999999996,2019-01-05 16:30:00+00:00
HUM,57.99999999999999,2019-01-05 16:30:00+00:00
PRES,1017.36,2019-01-05 16:30:00+00:00
TC,15.267887999999996,2019-01-05 17:30:00+00:00
HUM,61.0,2019-01-05 17:30:00+00:00
PRES,1017.18,2019-01-05 17:30:00+00:00
TC,14.428932000000001,2019-01-05 18:30:00+00:00
HUM,62.0,2019-01-05 18:30:00+00:00
PRES,1017.17,2019-01-05 18:30:00+00:00
TC,13.72332,2019-01-05 19:30:00+00:00
HUM,64.0,2019-01-05 19:30:00+00:00
PRES,1016.96,2019-01-05 19:30:00+00:00
TC,12.956592,2019-01-05 20:30:00+00:00
HUM,66.0,2019-01-05 20:30:00+00:00
PRES,1016.77,2019-01-05 20:30:00+00:00
TC,12.117636,2019-01-05 21:30:00+00:00
HUM,69.0,2019-01-05 21:30:00+00:00
PRES,1016.69,2019-01-05 21:30:00+00:00
TC,11.339795999999998,2019-01-05 22:30:00+00:00
HUM,71.0,2019-01-05 22:30:00+00:00
PRES,1016.73,2019-01-05 22:30:00+00:00
TC,11.495364,2019-01-05 23:30:00+00:00
HUM,71.0,2019-01-05 23:30:00+00:00
PRES,1016.85,2019-01-05 23:30:00+00:00
TC,12.373211999999999,2019-01-06 00:30:00+00:00
HUM,71.0,2019-01-06 00:30:00+00:00
PRES,1016.97,2019-01-06 00:30:00+00:00
TC,13.3344,2019-01-06 01:30:00+00:00
HUM,71.0,2019-01-06 01:30:00+00:00
PRES,1017.28,2019-01-06 01:30:00+00:00
TC,14.817851999999998,2019-01-06 02:30:00+00:00
HUM,69.0,2019-01-06 02:30:00+00:00
PRES,1017.68,2019-01-06 02:30:00+00:00
TC,16.906907999999998,2019-01-06 03:30:00+00:00
HUM,64.0,2019-01-06 03:30:00+00:00
PRES,1017.74,2019-01-06 03:30:00+00:00
TC,19.801584,2019-01-06 04:30:00+00:00
HUM,55.00000000000001,2019-01-06 04:30:00+00:00
PRES,1017.48,2019-01-06 04:30:00+00:00
TC,22.896276,2019-01-06 05:30:00+00:00
HUM,46.0,2019-01-06 05:30:00+00:00
PRES,1017.1,2019-01-06 05:30:00+00:00
TC,25.213128,2019-01-06 06:30:00+00:00
HUM,38.0,2019-01-06 06:30:00+00:00
PRES,1016.49,2019-01-06 06:30:00+00:00
TC,26.72436,2019-01-06 07:30:00+00:00
HUM,33.0,2019-01-06 07:30:00+00:00
PRES,1015.53,2019-01-06 07:30:00+00:00
TC,27.079944,2019-01-06 08:30:00+00:00
HUM,30.0,2019-01-06 08:30:00+00:00
PRES,1014.62,2019-01-06 08:30:00+00:00
TC,26.568791999999995,2019-01-06 09:30:00+00:00
HUM,31.0,2019-01-06 09:30:00+00:00
PRES,1014.13,2019-01-06 09:30:00+00:00
TC,25.640940000000004,2019-01-06 10:30:00+00:00
HUM,33.0,2019-01-06 10:30:00+00:00
PRES,1014.07,2019-01-06 10:30:00+00:00
TC,24.535296,2019-01-06 11:30:00+00:00
HUM,36.0,2019-01-06 11:30:00+00:00
PRES,1014.21,2019-01-06 11:30:00+00:00
TC,23.185188,2019-01-06 12:30:00+00:00
HUM,38.0,2019-01-06 12:30:00+00:00
PRES,1014.55,2019-01-06 12:30:00+00:00
TC,21.257255999999998,2019-01-06 13:30:00+00:00
HUM,41.0,2019-01-06 13:30:00+00:00
PRES,1015.11,2019-01-06 13:30:00+00:00
TC,19.295988,2019-01-06 14:30:00+00:00
